整租·茂盛城市花园二期 2室1厅 南,整租·茂盛城市花园二期,/zufang/SH1830485868595380224.html
整租·骏豪国际 1室1厅 南,整租·骏豪国际,/zufang/SH1829951199550373888.html
整租·圣骊河滨苑 2室1厅 南,整租·圣骊河滨苑,/zufang/SH1828735266462892032.html
独栋·方隅公寓 上海天璟方隅国际公寓 全屋地暖  近虹桥商圈 无中介费 宠物友好 免费健身 1室1厅,独栋·方隅公寓,/apartment/26266.html
整租·金海华城鸿明佳苑 2室1厅 南,整租·金海华城鸿明佳苑,/zufang/SH1830222645925249024.html
独栋·壹间 虹桥公馆-徐泾B店 格局炸裂！温馨一居室丨央企直租 民水民电 开间,独栋·壹间,/apartment/37875.html
整租·临沂六村 2室1厅 南,整租·临沂六村,/zufang/SH1825096456365670400.html
独栋·壹间公寓 宝山花园城B栋 企业宿舍舒适四人间 开间,独栋·壹间公寓,/apartment/54239.html
整租·浦发壹滨江 1室2厅 南,整租·浦发壹滨江,/zufang/SH1829811401527394304.html
独栋·菁舍 富锦路店 宝山区人才公寓：国企直租，民用水电，一号地铁口，可办居住证！ 1室1厅,独栋·菁舍,/apartment/43451.html
整租·和源馨苑 1室1厅 南,整租·和源馨苑,/zufang/SH1828411663443820544.html
独栋·菁舍 宝山四季都会店 1号线地铁口国企公寓 河景阳台房 一房一厅一厨一卫 民水民电 1室2厅,独栋·菁舍,/apartment/43369.html
整租·杨桥第一小区 1室1厅 南,整租·杨桥第一小区,/zufang/SH1819955707273805824.html
独栋·COZI可遇 至臻虹桥店 虹桥机场旁公寓落地窗 可短租 自带商业 包票 押一付一 1室1厅,独栋·COZI可遇,/apartment/60104.html
整租·建发云锦湾 3室2厅 东南,整租·建发云锦湾,/zufang/SH1794296064698744832.html
整租·明德公寓 1室1厅 南,整租·明德公寓,/zufang/SH1825758832408657920.html
整租·雍华府(公寓) 2室1厅 南/北,整租·雍华府(公寓),/zufang/SH1829818029626621952.html
独栋·浦发有家 唐镇店 主推好房！双11立减活动已经开启！ 1室1厅,独栋·浦发有家,/apartment/64182.html
整租·保利叶之林(三期) 2室2厅 南/北,整租·保利叶之林(三期),/zufang/SH1828808511509757952.html
整租·君莲闵都雅苑 1室1厅 南/西/北,整租·君莲闵都雅苑,/zufang/SH1828752053485174784.html
整租·上南五村 1室1厅 南,整租·上南五村,/zufang/SH1826133016221581312.html
独栋·SVIP斯维派服务公寓 徐祥路店 斯维派，逆天阳台间，公寓直租，家具全新 1室1厅,独栋·SVIP斯维派服务公寓,/apartment/68733.html
浦罡小区 1室1厅 南,浦罡小区,/zufang/SH1827577566777573376.html
独栋·城家公寓 上海新虹桥万象城店 品质公寓精装直租独厨独卫、可月付随时看房 开间,独栋·城家公寓,/apartment/514.html
整租·密云小区 1室1厅 南,整租·密云小区,/zufang/SH1826814773354823680.html
独栋·景瑞悦樘 嘉善路地铁站店 整租地铁口医院实习优选一室户押一付一 1室1厅,独栋·景瑞悦樘,/apartment/24563.html
整租·碧桂园嘉誉 3室2厅 南,整租·碧桂园嘉誉,/zufang/SH1825786641810194432.html
独栋·景瑞悦樘 悦樘大宁店 地铁口精选外窗朝南押一付一 1室1厅,独栋·景瑞悦樘,/apartment/41753.html
整租·怡泰家苑 3室2厅 南,整租·怡泰家苑,/zufang/SH1827933900920324096.html
独栋·国拓公寓 中春路 半年起租丨诗和远方很贵找我租房不贵 1室1厅,独栋·国拓公寓,/apartment/53991.html
整租·恒大华城梅山苑 1室1厅 南,整租·恒大华城梅山苑,/zufang/SH1825116300356091904.html
独栋·红豆公寓 上南2店 世博前滩-精装一室户 1室1厅,独栋·红豆公寓,/apartment/33460.html
整租·名门滨江苑 3室2厅 南/北,整租·名门滨江苑,/zufang/SH1826472662302457856.html
独栋·红豆公寓 江宁3店 精装大平层-南京西路新天地静安寺长寿路5-30分钟 1室1厅,独栋·红豆公寓,/apartment/57655.html
整租·阳光威尼斯AB区 2室1厅 南,整租·阳光威尼斯AB区,/zufang/SH1829517968602562560.html
独栋·红豆公寓 江宁3店 经济型精装平层-南京西路新天地静安寺长寿路5-30分钟 1室1厅,独栋·红豆公寓,/apartment/57655.html
整租·莘松七村 2室1厅 南,整租·莘松七村,/zufang/SH1813802299022114816.html
独栋·彩虹小居 国京路店 万达百联商圈南楼复式 1室1厅,独栋·彩虹小居,/apartment/2793.html
整租·君莲宏润丽苑 2室1厅 南,整租·君莲宏润丽苑,/zufang/SH1817460323892854784.html
独栋·彩虹小居 松花江路门店 平层西 开间,独栋·彩虹小居,/apartment/46195.html
整租·虹桥博雅苑 2室2厅 南,整租·虹桥博雅苑,/zufang/SH1824418895201566720.html
独栋·城方公寓 虹桥璟智公寓 国企大一室民用水电 1室1厅,独栋·城方公寓,/apartment/52409.html
整租·中环一号五期（欧泊花郡）  2室2厅 南,整租·中环一号五期（欧泊花郡）,/zufang/SH1822196621664845824.html
独栋·方隅公寓 上海会展店 【年租93折】高档一居室套房，包物业网络，落地窗，健身房 1室1厅,独栋·方隅公寓,/apartment/42917.html
整租·贤青雅苑 2室2厅 南/北,整租·贤青雅苑,/zufang/SH1826194359008100352.html
整租·圣天地服务式公寓 1室1厅 东南,整租·圣天地服务式公寓,/zufang/SH1827702467312222208.html
整租·中环一号二期（琉樽尚品） 1室1厅 南,整租·中环一号二期（琉樽尚品）,/zufang/SH1825428046606237696.html
